arr_size, iters, time
8192, 10000, 12.246400
8192, 10000, 12.240900
8192, 10000, 12.241300
8192, 10000, 12.382000
8192, 10000, 12.242900
8192, 10000, 14.180000
8192, 10000, 2.897100
8192, 10000, 10.842800
8192, 10000, 10.839400
8192, 10000, 10.839000
8192, 10000, 10.840600
8192, 10000, 10.841200
8192, 10000, 10.862700
8192, 10000, 12.062700
8192, 10000, 9.588900
8192, 10000, 9.587600
8192, 10000, 9.583000
8192, 10000, 9.583100
8192, 10000, 9.586600
8192, 10000, 9.585600
8192, 10000, 9.592600
8192, 10000, 8.462500
8192, 10000, 8.455900
8192, 10000, 8.456700
8192, 10000, 8.458500
8192, 10000, 8.462500
8192, 10000, 8.465700
8192, 10000, 8.456500
8192, 10000, 8.455900
8192, 10000, 8.454900
8192, 10000, 8.457100
8192, 10000, 8.456500
8192, 10000, 8.455500
8192, 10000, 8.457700
8192, 10000, 8.455700
8192, 10000, 8.458500
8192, 10000, 8.459800
8192, 10000, 8.463300
8192, 10000, 9.552200
8192, 10000, 8.461100
8192, 10000, 8.457300
8192, 10000, 8.479200
8192, 10000, 8.462900
8192, 10000, 8.463500
8192, 10000, 8.454800
8192, 10000, 8.455300
8192, 10000, 8.455100
8192, 10000, 8.463500
8192, 10000, 8.462500
8192, 10000, 8.460900
8192, 10000, 10.872900
8192, 10000, 8.466500
8192, 10000, 8.461100
8192, 10000, 8.569600
8192, 10000, 8.464100
8192, 10000, 8.465500
8192, 10000, 8.461100
8192, 10000, 8.455700
8192, 10000, 8.456300
8192, 10000, 8.459500
8192, 10000, 8.464300
8192, 10000, 8.455300
8192, 10000, 8.459300
8192, 10000, 8.454700
8192, 10000, 8.458500
8192, 10000, 8.465000
8192, 10000, 8.461900
8192, 10000, 8.463100
8192, 10000, 8.465500
8192, 10000, 8.454900
8192, 10000, 8.457100
8192, 10000, 8.457500
8192, 10000, 8.452900
8192, 10000, 8.455100
8192, 10000, 8.454100
8192, 10000, 8.462100
8192, 10000, 8.464900
8192, 10000, 8.458600
8192, 10000, 8.456300
8192, 10000, 8.457900
8192, 10000, 8.461100
8192, 10000, 8.452800
8192, 10000, 8.454500
8192, 10000, 8.467700
8192, 10000, 9.663600
8192, 10000, 8.459900
8192, 10000, 8.457700
8192, 10000, 8.459900
8192, 10000, 8.454700
8192, 10000, 8.455900
8192, 10000, 8.453100
8192, 10000, 8.454100
8192, 10000, 8.453900
8192, 10000, 8.453500
8192, 10000, 8.464300
8192, 10000, 8.453500
8192, 10000, 8.455600
8192, 10000, 8.462300
8192, 10000, 8.466200
8192, 10000, 8.457300
8192, 10000, 10.893600
8192, 10000, 8.457500
8192, 10000, 8.460300
8192, 10000, 7.444100
8192, 10000, 7.435200
8192, 10000, 7.433100
8192, 10000, 2.905900
8192, 10000, 12.253200
8192, 10000, 8.587700
8192, 10000, 7.437300
8192, 10000, 7.457700
8192, 10000, 10.232400
8192, 10000, 6.506900
8192, 10000, 6.504100
8192, 10000, 6.504900
8192, 10000, 22.454600
8192, 10000, 6.507200
8192, 10000, 6.507100
8192, 10000, 6.602600
8192, 10000, 6.503500
8192, 10000, 6.503600
8192, 10000, 6.505700
8192, 10000, 6.503500
8192, 10000, 6.770100
8192, 10000, 6.502800
8192, 10000, 6.503800
8192, 10000, 7.523400
8192, 10000, 6.538300
8192, 10000, 6.563400
8192, 10000, 6.547200
8192, 10000, 6.525000
8192, 10000, 7.445400
8192, 10000, 7.441100
8192, 10000, 7.444700
8192, 10000, 14.179500
8192, 10000, 7.462500
8192, 10000, 7.432300
8192, 10000, 10.424000
8192, 10000, 7.432200
8192, 10000, 7.430500
8192, 10000, 13.391700
8192, 10000, 12.559300
8192, 10000, 6.512100
8192, 10000, 5.659600
8192, 10000, 5.657000
8192, 10000, 5.657900
8192, 10000, 5.663000
8192, 10000, 5.654300
8192, 10000, 1.858500
8192, 10000, 6.034000
8192, 10000, 5.797600
8192, 10000, 5.660800
8192, 10000, 4.887400
8192, 10000, 4.878300
8192, 10000, 4.878800
8192, 10000, 4.876600
8192, 10000, 4.879300
8192, 10000, 4.876600
8192, 10000, 4.877800
8192, 10000, 4.878000
8192, 10000, 4.878100
8192, 10000, 40.659100
8192, 10000, 10.849100
8192, 10000, 10.847700
8192, 10000, 10.845000
8192, 10000, 10.844600
8192, 10000, 10.851400
8192, 10000, 10.843000
8192, 10000, 9.598500
8192, 10000, 9.583100
8192, 10000, 9.606400
8192, 10000, 9.584000
8192, 10000, 9.585900
8192, 10000, 9.585500
8192, 10000, 9.584300
8192, 10000, 9.591900
8192, 10000, 12.111300
8192, 10000, 9.586400
8192, 10000, 9.591500
8192, 10000, 9.582500
8192, 10000, 9.590200
8192, 10000, 9.585400
8192, 10000, 9.593800
8192, 10000, 9.584800
8192, 10000, 9.587300
8192, 10000, 9.694700
8192, 10000, 9.587200
8192, 10000, 9.582600
8192, 10000, 9.596600
8192, 10000, 9.592800
8192, 10000, 9.606800
8192, 10000, 9.588700
8192, 10000, 12.076200
8192, 10000, 1.820800
8192, 10000, 16.042500
8192, 10000, 9.590200
8192, 10000, 9.590800
8192, 10000, 9.586200
8192, 10000, 9.583100
8192, 10000, 9.589900
8192, 10000, 9.583600
8192, 10000, 8.455300
8192, 10000, 10.968200
8192, 10000, 8.457100
8192, 10000, 8.458900
8192, 10000, 8.455700
8192, 10000, 8.455700
8192, 10000, 8.458100
8192, 10000, 8.455700
8192, 10000, 8.455100
8192, 10000, 7.437300
8192, 10000, 7.434300
8192, 10000, 7.431500
