arr_size, iters, time
4194304, 1000000, 1.140810
4194304, 1000000, 1.154006
4194304, 1000000, 1.160218
4194304, 1000000, 1.140747
4194304, 1000000, 1.159210
4194304, 1000000, 1.176021
4194304, 1000000, 1.153303
4194304, 1000000, 1.160327
4194304, 1000000, 1.139668
4194304, 1000000, 1.158852
4194304, 1000000, 1.156469
4194304, 1000000, 1.153013
4194304, 1000000, 1.230247
4194304, 1000000, 1.337015
4194304, 1000000, 1.158927
4194304, 1000000, 1.156618
4194304, 1000000, 1.153856
4194304, 1000000, 1.160025
4194304, 1000000, 1.344632
4194304, 1000000, 1.203873
4194304, 1000000, 1.182840
4194304, 1000000, 1.391620
4194304, 1000000, 1.175592
4194304, 1000000, 1.156120
4194304, 1000000, 1.153892
4194304, 1000000, 1.159296
4194304, 1000000, 1.422974
4194304, 1000000, 1.144506
4194304, 1000000, 1.156790
4194304, 1000000, 1.153115
4194304, 1000000, 1.159599
4194304, 1000000, 1.365854
4194304, 1000000, 1.174645
4194304, 1000000, 1.256950
4194304, 1000000, 1.166911
4194304, 1000000, 1.172044
4194304, 1000000, 1.150765
4194304, 1000000, 1.148890
4194304, 1000000, 1.136584
4194304, 1000000, 1.153510
4194304, 1000000, 1.215353
4194304, 1000000, 1.137149
4194304, 1000000, 1.134531
4194304, 1000000, 1.183596
4194304, 1000000, 1.141134
4194304, 1000000, 1.158918
4194304, 1000000, 1.361170
4194304, 1000000, 1.187568
4194304, 1000000, 1.170162
4194304, 1000000, 1.154311
4194304, 1000000, 1.230300
4194304, 1000000, 1.137595
4194304, 1000000, 1.135951
4194304, 1000000, 1.151623
4194304, 1000000, 1.163284
4194304, 1000000, 1.194520
4194304, 1000000, 1.138311
4194304, 1000000, 1.131319
4194304, 1000000, 1.156148
4194304, 1000000, 1.153642
4194304, 1000000, 1.138932
4194304, 1000000, 1.366477
4194304, 1000000, 1.171231
4194304, 1000000, 1.341665
4194304, 1000000, 1.133401
4194304, 1000000, 1.151532
4194304, 1000000, 1.374626
4194304, 1000000, 1.158839
4194304, 1000000, 1.467346
4194304, 1000000, 1.237812
4194304, 1000000, 1.156412
4194304, 1000000, 1.153595
4194304, 1000000, 1.138024
4194304, 1000000, 1.136186
4194304, 1000000, 1.158151
4194304, 1000000, 1.372734
4194304, 1000000, 1.235799
4194304, 1000000, 1.156526
4194304, 1000000, 1.150200
4194304, 1000000, 1.138377
4194304, 1000000, 1.153813
4194304, 1000000, 1.159597
4194304, 1000000, 1.136772
4194304, 1000000, 1.175724
4194304, 1000000, 1.152096
4194304, 1000000, 1.331958
4194304, 1000000, 1.159233
4194304, 1000000, 1.156230
4194304, 1000000, 1.133772
4194304, 1000000, 1.151088
4194304, 1000000, 1.222415
4194304, 1000000, 1.164716
4194304, 1000000, 1.151018
4194304, 1000000, 1.134118
4194304, 1000000, 1.151170
4194304, 1000000, 1.135238
4194304, 1000000, 1.185810
4194304, 1000000, 1.209519
4194304, 1000000, 1.134464
4194304, 1000000, 1.151908
4194304, 1000000, 1.158943
4194304, 1000000, 1.162332
