arr_size, iters, time
65536, 1000000, 32.376760
65536, 1000000, 20.610029
65536, 1000000, 15.192966
65536, 1000000, 34.638873
65536, 1000000, 34.238098
65536, 1000000, 21.183709
65536, 1000000, 15.477732
65536, 1000000, 11.898851
65536, 1000000, 10.106519
65536, 1000000, 8.532488
65536, 1000000, 7.669156
65536, 1000000, 6.946242
65536, 1000000, 6.271570
65536, 1000000, 5.511344
65536, 1000000, 5.509187
65536, 1000000, 4.811412
65536, 1000000, 4.765379
65536, 1000000, 4.185032
65536, 1000000, 4.167484
65536, 1000000, 3.591700
65536, 1000000, 3.565055
65536, 1000000, 3.486233
65536, 1000000, 3.008950
65536, 1000000, 3.008958
65536, 1000000, 2.914168
65536, 1000000, 2.482108
65536, 1000000, 2.523789
65536, 1000000, 2.423396
65536, 1000000, 2.009252
65536, 1000000, 2.021082
65536, 1000000, 2.003752
65536, 1000000, 1.821552
65536, 1000000, 1.644852
65536, 1000000, 1.655460
65536, 1000000, 1.570483
65536, 1000000, 1.162062
65536, 1000000, 1.174082
65536, 1000000, 1.162849
65536, 1000000, 1.170324
65536, 1000000, 1.175787
65536, 1000000, 1.140204
65536, 1000000, 1.160477
65536, 1000000, 1.155071
65536, 1000000, 1.162416
65536, 1000000, 1.145151
65536, 1000000, 1.174392
65536, 1000000, 1.159831
65536, 1000000, 1.363810
65536, 1000000, 1.186899
65536, 1000000, 1.161185
65536, 1000000, 1.150667
65536, 1000000, 1.161099
65536, 1000000, 1.377043
65536, 1000000, 1.181492
65536, 1000000, 1.221128
65536, 1000000, 1.157582
65536, 1000000, 1.139258
65536, 1000000, 1.157184
65536, 1000000, 1.169706
65536, 1000000, 1.141890
65536, 1000000, 1.138562
65536, 1000000, 1.189429
65536, 1000000, 1.380848
65536, 1000000, 1.163704
65536, 1000000, 1.144245
65536, 1000000, 1.138676
65536, 1000000, 1.159967
65536, 1000000, 1.380804
65536, 1000000, 1.197500
65536, 1000000, 1.147053
65536, 1000000, 1.136764
65536, 1000000, 1.156378
65536, 1000000, 1.227177
65536, 1000000, 1.455382
65536, 1000000, 1.149961
65536, 1000000, 1.225723
65536, 1000000, 1.184956
65536, 1000000, 1.370819
65536, 1000000, 1.155217
65536, 1000000, 1.145643
65536, 1000000, 1.162801
65536, 1000000, 1.170183
65536, 1000000, 1.174028
65536, 1000000, 1.139551
65536, 1000000, 1.178967
65536, 1000000, 1.146436
65536, 1000000, 1.167315
65536, 1000000, 1.147333
65536, 1000000, 1.137807
65536, 1000000, 1.178399
65536, 1000000, 1.162591
65536, 1000000, 1.169406
65536, 1000000, 1.141547
65536, 1000000, 1.363597
65536, 1000000, 1.147446
65536, 1000000, 1.160991
65536, 1000000, 1.201971
65536, 1000000, 1.161719
65536, 1000000, 1.157778
65536, 1000000, 1.200747
