arr_size, iters, time
512, 10000, 4.184300
512, 10000, 4.176000
512, 10000, 4.174100
512, 10000, 4.172800
512, 10000, 4.179400
512, 10000, 4.177600
512, 10000, 4.176000
512, 10000, 4.174200
512, 10000, 4.173300
512, 10000, 4.171800
512, 10000, 4.176300
512, 10000, 4.178100
512, 10000, 4.177900
512, 10000, 4.178700
512, 10000, 4.178600
512, 10000, 4.178100
512, 10000, 4.176800
512, 10000, 4.171500
512, 10000, 4.174900
512, 10000, 5.032200
512, 10000, 4.175200
512, 10000, 4.173300
512, 10000, 4.174700
512, 10000, 4.174200
512, 10000, 4.178000
512, 10000, 4.176500
512, 10000, 4.177300
512, 10000, 4.219900
512, 10000, 4.177300
512, 10000, 4.178600
512, 10000, 4.173900
512, 10000, 4.172000
512, 10000, 4.170700
512, 10000, 4.171800
512, 10000, 4.177200
512, 10000, 4.178800
512, 10000, 4.176600
512, 10000, 4.174000
512, 10000, 4.174300
512, 10000, 4.171800
512, 10000, 4.178800
512, 10000, 4.179200
512, 10000, 4.177900
512, 10000, 4.170500
512, 10000, 4.172400
512, 10000, 4.177700
512, 10000, 4.176700
512, 10000, 4.170600
512, 10000, 4.175700
512, 10000, 4.171900
512, 10000, 4.977200
512, 10000, 4.172200
512, 10000, 4.172000
512, 10000, 4.173200
512, 10000, 4.172100
512, 10000, 4.164900
512, 10000, 4.171800
512, 10000, 4.171100
512, 10000, 4.171900
512, 10000, 4.181500
512, 10000, 4.178400
512, 10000, 4.972000
512, 10000, 4.172400
512, 10000, 4.175400
512, 10000, 4.173100
512, 10000, 4.171600
512, 10000, 4.172800
512, 10000, 4.174500
512, 10000, 4.172500
512, 10000, 4.172100
512, 10000, 4.176500
512, 10000, 4.171300
512, 10000, 4.172300
512, 10000, 4.174600
512, 10000, 4.171700
512, 10000, 4.181300
512, 10000, 4.177700
512, 10000, 4.173200
512, 10000, 4.174200
512, 10000, 7.037100
512, 10000, 4.172000
512, 10000, 4.174000
512, 10000, 4.170600
512, 10000, 4.172100
512, 10000, 4.180200
512, 10000, 4.178900
512, 10000, 4.178100
512, 10000, 4.174100
512, 10000, 4.173600
512, 10000, 4.173700
512, 10000, 4.172600
512, 10000, 4.177900
512, 10000, 4.176600
512, 10000, 4.181000
512, 10000, 4.175400
512, 10000, 4.175100
512, 10000, 4.173500
512, 10000, 4.171800
512, 10000, 4.182600
512, 10000, 4.172000
512, 10000, 5.120300
512, 10000, 4.172300
512, 10000, 4.173600
512, 10000, 4.171700
512, 10000, 4.173400
512, 10000, 4.173400
512, 10000, 4.171000
512, 10000, 4.172100
512, 10000, 4.170400
512, 10000, 4.168800
512, 10000, 4.178400
512, 10000, 5.216500
512, 10000, 4.178700
512, 10000, 4.174000
512, 10000, 4.172500
512, 10000, 4.172100
512, 10000, 4.172200
512, 10000, 4.173700
512, 10000, 4.175700
512, 10000, 4.174400
512, 10000, 4.174900
512, 10000, 4.174100
512, 10000, 4.171800
512, 10000, 4.173600
512, 10000, 4.177300
512, 10000, 4.246000
512, 10000, 4.173300
512, 10000, 4.173200
512, 10000, 4.175300
512, 10000, 4.173100
512, 10000, 4.412600
512, 10000, 4.174200
512, 10000, 4.173700
512, 10000, 4.172500
512, 10000, 4.174100
512, 10000, 4.176500
512, 10000, 5.849400
512, 10000, 4.172200
512, 10000, 4.172500
512, 10000, 4.174500
512, 10000, 4.175100
512, 10000, 4.190600
512, 10000, 4.177400
512, 10000, 15.633400
512, 10000, 15.646200
512, 10000, 15.635500
512, 10000, 15.641600
512, 10000, 15.639400
512, 10000, 15.642000
512, 10000, 15.642700
512, 10000, 15.642300
512, 10000, 15.643700
512, 10000, 16.456700
512, 10000, 13.848200
512, 10000, 13.842900
512, 10000, 13.850100
512, 10000, 13.842600
512, 10000, 19.973600
512, 10000, 13.844300
512, 10000, 13.841100
512, 10000, 12.259800
