arr_size, iters, time
8388608, 1000000, 20.852842
8388608, 1000000, 14.073772
8388608, 1000000, 10.921521
8388608, 1000000, 8.989726
8388608, 1000000, 7.785560
8388608, 1000000, 7.049303
8388608, 1000000, 6.266337
8388608, 1000000, 6.089059
8388608, 1000000, 5.501226
8388608, 1000000, 5.288502
8388608, 1000000, 4.799336
8388608, 1000000, 4.154845
8388608, 1000000, 4.170984
8388608, 1000000, 4.016322
8388608, 1000000, 5.189053
8388608, 1000000, 3.520953
8388608, 1000000, 3.003962
8388608, 1000000, 2.609934
8388608, 1000000, 1.959487
8388608, 1000000, 1.487903
8388608, 1000000, 1.391302
8388608, 1000000, 3.049755
8388608, 1000000, 2.266508
8388608, 1000000, 3.127924
8388608, 1000000, 1.196553
8388608, 1000000, 1.196921
8388608, 1000000, 1.154932
8388608, 1000000, 1.594678
8388608, 1000000, 1.732122
8388608, 1000000, 1.178987
8388608, 1000000, 1.159021
8388608, 1000000, 1.210495
8388608, 1000000, 1.154077
8388608, 1000000, 1.173426
8388608, 1000000, 1.156736
8388608, 1000000, 1.157510
8388608, 1000000, 1.218220
8388608, 1000000, 1.156785
8388608, 1000000, 1.153179
8388608, 1000000, 1.179424
8388608, 1000000, 1.158100
8388608, 1000000, 1.166460
8388608, 1000000, 1.158007
8388608, 1000000, 1.157296
8388608, 1000000, 1.153405
8388608, 1000000, 1.157220
8388608, 1000000, 1.391021
8388608, 1000000, 1.208168
8388608, 1000000, 1.157488
8388608, 1000000, 1.175271
8388608, 1000000, 1.152039
8388608, 1000000, 1.156525
8388608, 1000000, 1.156098
8388608, 1000000, 1.155995
8388608, 1000000, 1.157166
8388608, 1000000, 1.167707
8388608, 1000000, 1.166127
8388608, 1000000, 1.156424
8388608, 1000000, 1.154575
8388608, 1000000, 1.156184
8388608, 1000000, 1.189805
8388608, 1000000, 1.361669
8388608, 1000000, 1.149643
8388608, 1000000, 1.167190
8388608, 1000000, 1.416521
8388608, 1000000, 1.213765
8388608, 1000000, 1.150517
8388608, 1000000, 1.175842
8388608, 1000000, 1.242972
8388608, 1000000, 1.156891
8388608, 1000000, 1.175342
8388608, 1000000, 1.156059
8388608, 1000000, 1.176521
8388608, 1000000, 1.156810
8388608, 1000000, 1.174742
8388608, 1000000, 1.187077
8388608, 1000000, 1.175337
8388608, 1000000, 1.156761
8388608, 1000000, 1.163856
8388608, 1000000, 1.153040
8388608, 1000000, 1.152927
8388608, 1000000, 1.155956
8388608, 1000000, 1.161513
8388608, 1000000, 1.188147
8388608, 1000000, 1.160018
8388608, 1000000, 1.154192
8388608, 1000000, 1.161139
8388608, 1000000, 1.178690
8388608, 1000000, 1.162559
8388608, 1000000, 1.179166
8388608, 1000000, 1.190760
8388608, 1000000, 1.177598
8388608, 1000000, 1.159460
8388608, 1000000, 1.179349
8388608, 1000000, 1.160819
8388608, 1000000, 1.178829
8388608, 1000000, 1.159842
8388608, 1000000, 1.224603
8388608, 1000000, 1.160772
8388608, 1000000, 1.160475
