arr_size, iters, time
4194304, 1000, 1.702000
4194304, 1000, 1.715000
4194304, 1000, 4.456000
4194304, 1000, 1.651000
4194304, 1000, 1.653000
4194304, 1000, 1.629000
4194304, 1000, 1.644000
4194304, 1000, 1.721000
4194304, 1000, 1.672000
4194304, 1000, 1.741000
4194304, 1000, 1.638000
4194304, 1000, 1.645000
4194304, 1000, 1.683000
4194304, 1000, 1.625000
4194304, 1000, 1.674000
4194304, 1000, 1.726000
4194304, 1000, 1.609000
4194304, 1000, 1.649000
4194304, 1000, 1.762000
4194304, 1000, 1.665000
4194304, 1000, 1.809000
4194304, 1000, 1.632000
4194304, 1000, 1.822000
4194304, 1000, 1.627000
4194304, 1000, 1.576000
4194304, 1000, 1.675000
4194304, 1000, 1.606000
4194304, 1000, 1.683000
4194304, 1000, 1.611000
4194304, 1000, 1.704000
4194304, 1000, 1.651000
4194304, 1000, 2.064000
4194304, 1000, 1.720000
4194304, 1000, 1.614000
4194304, 1000, 1.612000
4194304, 1000, 1.661000
4194304, 1000, 1.742000
4194304, 1000, 1.581000
4194304, 1000, 2.011000
4194304, 1000, 1.774000
4194304, 1000, 1.771000
4194304, 1000, 1.600000
4194304, 1000, 1.740000
4194304, 1000, 1.745000
4194304, 1000, 1.800000
4194304, 1000, 1.680000
4194304, 1000, 1.784000
4194304, 1000, 1.633000
4194304, 1000, 1.630000
4194304, 1000, 1.708000
4194304, 1000, 1.733000
4194304, 1000, 1.621000
4194304, 1000, 1.640000
4194304, 1000, 1.616000
4194304, 1000, 1.684000
4194304, 1000, 1.713000
4194304, 1000, 1.718000
4194304, 1000, 1.625000
4194304, 1000, 1.653000
4194304, 1000, 1.796000
4194304, 1000, 1.669000
4194304, 1000, 1.672000
4194304, 1000, 1.667000
4194304, 1000, 1.694000
4194304, 1000, 1.622000
4194304, 1000, 1.635000
4194304, 1000, 1.615000
4194304, 1000, 1.690000
4194304, 1000, 1.633000
4194304, 1000, 1.650000
4194304, 1000, 1.671000
4194304, 1000, 1.661000
4194304, 1000, 1.619000
4194304, 1000, 1.542000
4194304, 1000, 1.682000
4194304, 1000, 1.675000
4194304, 1000, 1.720000
4194304, 1000, 1.671000
4194304, 1000, 1.747000
4194304, 1000, 1.600000
4194304, 1000, 1.609000
4194304, 1000, 1.711000
4194304, 1000, 1.644000
4194304, 1000, 1.625000
4194304, 1000, 1.687000
4194304, 1000, 1.756000
4194304, 1000, 1.708000
4194304, 1000, 1.665000
4194304, 1000, 1.612000
4194304, 1000, 1.664000
4194304, 1000, 1.728000
4194304, 1000, 1.663000
4194304, 1000, 1.704000
4194304, 1000, 1.619000
4194304, 1000, 1.683000
4194304, 1000, 1.667000
4194304, 1000, 1.730000
4194304, 1000, 1.607000
4194304, 1000, 1.650000
4194304, 1000, 1.784000
