arr_size, iters, time
16384, 10000, 672
16384, 10000, 325
16384, 10000, 255
16384, 10000, 261
16384, 10000, 256
16384, 10000, 260
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 255
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 260
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 261
16384, 10000, 261
16384, 10000, 261
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 255
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 265
16384, 10000, 261
16384, 10000, 260
16384, 10000, 261
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 256
16384, 10000, 260
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 255
16384, 10000, 256
16384, 10000, 261
16384, 10000, 261
16384, 10000, 255
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 257
16384, 10000, 256
16384, 10000, 256
16384, 10000, 256
16384, 10000, 260
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 255
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 256
16384, 10000, 261
16384, 10000, 255
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 256
16384, 10000, 255
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 255
16384, 10000, 256
16384, 10000, 256
16384, 10000, 261
16384, 10000, 255
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 261
16384, 10000, 256
16384, 10000, 256
16384, 10000, 256
