arr_size, iters, time
4096, 1000, 13.390000
4096, 1000, 13.491000
4096, 1000, 13.473000
4096, 1000, 13.479000
4096, 1000, 13.401000
4096, 1000, 13.519000
4096, 1000, 6.041000
4096, 1000, 14.940000
4096, 1000, 13.501000
4096, 1000, 6.074000
4096, 1000, 12.014000
4096, 1000, 12.025000
4096, 1000, 11.986000
4096, 1000, 12.004000
4096, 1000, 12.012000
4096, 1000, 11.986000
4096, 1000, 11.998000
4096, 1000, 11.996000
4096, 1000, 10.763000
4096, 1000, 19.039000
4096, 1000, 10.984000
4096, 1000, 10.808000
4096, 1000, 10.710000
4096, 1000, 10.730000
4096, 1000, 10.977000
4096, 1000, 10.809000
4096, 1000, 10.799000
4096, 1000, 10.819000
4096, 1000, 10.779000
4096, 1000, 10.833000
4096, 1000, 9.646000
4096, 1000, 9.607000
4096, 1000, 9.598000
4096, 1000, 9.608000
4096, 1000, 9.735000
4096, 1000, 9.610000
4096, 1000, 9.659000
4096, 1000, 9.679000
4096, 1000, 9.603000
4096, 1000, 9.611000
4096, 1000, 9.596000
4096, 1000, 9.587000
4096, 1000, 9.572000
4096, 1000, 9.614000
4096, 1000, 9.582000
4096, 1000, 9.658000
4096, 1000, 9.609000
4096, 1000, 9.600000
4096, 1000, 9.600000
4096, 1000, 9.627000
4096, 1000, 9.648000
4096, 1000, 9.681000
4096, 1000, 9.660000
4096, 1000, 9.594000
4096, 1000, 9.607000
4096, 1000, 9.681000
4096, 1000, 9.600000
4096, 1000, 9.559000
4096, 1000, 9.615000
4096, 1000, 9.608000
4096, 1000, 9.677000
4096, 1000, 9.675000
4096, 1000, 9.679000
4096, 1000, 9.643000
4096, 1000, 16.469000
4096, 1000, 14.225000
4096, 1000, 9.605000
4096, 1000, 6.235000
4096, 1000, 9.595000
4096, 1000, 9.622000
4096, 1000, 9.741000
4096, 1000, 9.676000
4096, 1000, 8.585000
4096, 1000, 8.575000
4096, 1000, 8.560000
4096, 1000, 8.589000
4096, 1000, 8.563000
4096, 1000, 8.586000
4096, 1000, 8.644000
4096, 1000, 8.608000
4096, 1000, 8.608000
4096, 1000, 8.575000
4096, 1000, 8.605000
4096, 1000, 8.615000
4096, 1000, 8.591000
4096, 1000, 6.023000
4096, 1000, 8.618000
4096, 1000, 8.655000
4096, 1000, 8.647000
4096, 1000, 8.916000
4096, 1000, 8.584000
4096, 1000, 8.651000
4096, 1000, 8.662000
4096, 1000, 8.555000
4096, 1000, 8.568000
4096, 1000, 8.555000
4096, 1000, 8.565000
4096, 1000, 8.553000
4096, 1000, 8.557000
4096, 1000, 8.543000
