arr_size, iters, time
65536, 10000, 1.794700
65536, 10000, 1.795300
65536, 10000, 1.793700
65536, 10000, 1.799800
65536, 10000, 1.802700
65536, 10000, 1.792300
65536, 10000, 1.797400
65536, 10000, 1.795200
65536, 10000, 1.806100
65536, 10000, 1.801700
65536, 10000, 1.795900
65536, 10000, 1.792700
65536, 10000, 1.799500
65536, 10000, 2.318200
65536, 10000, 1.797600
65536, 10000, 2.043100
65536, 10000, 1.792200
65536, 10000, 1.796500
65536, 10000, 1.793300
65536, 10000, 1.796000
65536, 10000, 1.795300
65536, 10000, 1.796500
65536, 10000, 1.796900
65536, 10000, 1.796900
65536, 10000, 1.818700
65536, 10000, 1.793800
65536, 10000, 1.819500
65536, 10000, 1.794400
65536, 10000, 2.322000
65536, 10000, 2.321700
65536, 10000, 2.329400
65536, 10000, 2.324500
65536, 10000, 2.323300
65536, 10000, 2.327800
65536, 10000, 2.329900
65536, 10000, 2.325900
65536, 10000, 2.321800
65536, 10000, 2.323200
65536, 10000, 2.327300
65536, 10000, 2.324600
65536, 10000, 2.323300
65536, 10000, 2.329400
65536, 10000, 2.336400
65536, 10000, 2.323800
65536, 10000, 3.174800
65536, 10000, 2.401300
65536, 10000, 2.331500
65536, 10000, 2.320900
65536, 10000, 2.323600
65536, 10000, 2.321900
65536, 10000, 2.327400
65536, 10000, 2.324400
65536, 10000, 2.319700
65536, 10000, 2.328300
65536, 10000, 2.325500
65536, 10000, 2.325700
65536, 10000, 2.321400
65536, 10000, 2.325200
65536, 10000, 2.326900
65536, 10000, 2.328400
65536, 10000, 2.326100
65536, 10000, 2.325800
65536, 10000, 2.326500
65536, 10000, 2.320100
65536, 10000, 2.323500
65536, 10000, 2.321000
65536, 10000, 2.324600
65536, 10000, 2.320200
65536, 10000, 2.328700
65536, 10000, 2.333200
65536, 10000, 2.327000
65536, 10000, 2.326000
65536, 10000, 2.324200
65536, 10000, 2.330200
65536, 10000, 5.303900
65536, 10000, 2.325400
65536, 10000, 2.324600
65536, 10000, 2.324600
65536, 10000, 2.325700
65536, 10000, 2.324000
