arr_size, iters, time
524288, 100000, 5289
524288, 100000, 1721
524288, 100000, 326
524288, 100000, 305
524288, 100000, 1512
524288, 100000, 1509
524288, 100000, 1509
524288, 100000, 329
524288, 100000, 314
524288, 100000, 1508
524288, 100000, 313
524288, 100000, 309
524288, 100000, 1517
524288, 100000, 313
524288, 100000, 1533
524288, 100000, 309
524288, 100000, 313
524288, 100000, 1517
524288, 100000, 1393
524288, 100000, 1914
524288, 100000, 313
524288, 100000, 309
524288, 100000, 1521
524288, 100000, 1549
524288, 100000, 313
524288, 100000, 1528
524288, 100000, 309
524288, 100000, 309
524288, 100000, 317
524288, 100000, 1577
524288, 100000, 1416
524288, 100000, 1509
524288, 100000, 1413
524288, 100000, 313
524288, 100000, 317
524288, 100000, 305
524288, 100000, 313
524288, 100000, 313
524288, 100000, 1513
524288, 100000, 313
524288, 100000, 305
524288, 100000, 305
524288, 100000, 1420
524288, 100000, 309
524288, 100000, 309
524288, 100000, 309
524288, 100000, 305
524288, 100000, 313
524288, 100000, 305
524288, 100000, 305
524288, 100000, 305
524288, 100000, 309
524288, 100000, 1505
524288, 100000, 305
524288, 100000, 1396
524288, 100000, 1424
524288, 100000, 317
524288, 100000, 1404
524288, 100000, 317
524288, 100000, 313
524288, 100000, 1549
524288, 100000, 309
524288, 100000, 305
524288, 100000, 1517
524288, 100000, 1513
524288, 100000, 309
524288, 100000, 309
524288, 100000, 1405
524288, 100000, 1513
524288, 100000, 1517
524288, 100000, 313
524288, 100000, 313
524288, 100000, 309
524288, 100000, 313
524288, 100000, 313
524288, 100000, 1404
524288, 100000, 305
524288, 100000, 1508
524288, 100000, 1424
524288, 100000, 1392
524288, 100000, 313
524288, 100000, 309
524288, 100000, 309
524288, 100000, 309
524288, 100000, 305
524288, 100000, 200
524288, 100000, 309
524288, 100000, 1500
524288, 100000, 1408
524288, 100000, 313
524288, 100000, 313
524288, 100000, 1400
524288, 100000, 1392
524288, 100000, 1521
524288, 100000, 313
524288, 100000, 313
524288, 100000, 209
524288, 100000, 1396
524288, 100000, 317
524288, 100000, 1509
524288, 100000, 1397
524288, 100000, 1392
524288, 100000, 1400
524288, 100000, 313
524288, 100000, 313
524288, 100000, 313
524288, 100000, 309
524288, 100000, 1417
524288, 100000, 313
524288, 100000, 1517
524288, 100000, 309
524288, 100000, 1638
524288, 100000, 1553
524288, 100000, 1489
524288, 100000, 1396
524288, 100000, 309
524288, 100000, 1400
524288, 100000, 1432
524288, 100000, 314
524288, 100000, 1509
524288, 100000, 305
524288, 100000, 301
524288, 100000, 1397
524288, 100000, 1525
524288, 100000, 305
524288, 100000, 309
524288, 100000, 305
524288, 100000, 313
524288, 100000, 1408
524288, 100000, 1400
524288, 100000, 313
524288, 100000, 1384
524288, 100000, 1401
524288, 100000, 1397
524288, 100000, 1509
524288, 100000, 309
524288, 100000, 1420
524288, 100000, 1405
524288, 100000, 1397
524288, 100000, 309
524288, 100000, 1405
524288, 100000, 313
524288, 100000, 1401
524288, 100000, 1401
524288, 100000, 309
524288, 100000, 1404
524288, 100000, 305
524288, 100000, 1424
524288, 100000, 1400
524288, 100000, 314
524288, 100000, 1380
524288, 100000, 305
524288, 100000, 313
524288, 100000, 309
524288, 100000, 309
524288, 100000, 309
524288, 100000, 209
524288, 100000, 1392
524288, 100000, 1521
524288, 100000, 1405
524288, 100000, 1405
524288, 100000, 309
524288, 100000, 309
524288, 100000, 1409
524288, 100000, 1401
524288, 100000, 1420
524288, 100000, 1408
524288, 100000, 1432
524288, 100000, 1393
524288, 100000, 309
524288, 100000, 317
524288, 100000, 208
524288, 100000, 1397
524288, 100000, 313
524288, 100000, 309
524288, 100000, 309
524288, 100000, 1389
524288, 100000, 1393
524288, 100000, 309
524288, 100000, 305
524288, 100000, 309
524288, 100000, 205
524288, 100000, 209
524288, 100000, 313
524288, 100000, 309
524288, 100000, 1396
524288, 100000, 1392
524288, 100000, 313
524288, 100000, 204
524288, 100000, 1389
524288, 100000, 313
524288, 100000, 309
524288, 100000, 1389
524288, 100000, 1393
524288, 100000, 1401
524288, 100000, 213
524288, 100000, 208
524288, 100000, 1397
524288, 100000, 1397
524288, 100000, 213
524288, 100000, 309
524288, 100000, 534
524288, 100000, 221
524288, 100000, 297
524288, 100000, 305
524288, 100000, 305
524288, 100000, 305
524288, 100000, 305
524288, 100000, 2135
524288, 100000, 1436
524288, 100000, 1416
