arr_size, iters, time
2097152, 10000, 792
2097152, 10000, 286
2097152, 10000, 266
2097152, 10000, 261
2097152, 10000, 260
2097152, 10000, 266
2097152, 10000, 261
2097152, 10000, 260
2097152, 10000, 266
2097152, 10000, 261
2097152, 10000, 261
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 257
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 260
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 260
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 260
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 260
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 260
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 260
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 255
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 50017
2097152, 10000, 351
2097152, 10000, 261
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 255
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
2097152, 10000, 256
2097152, 10000, 261
2097152, 10000, 256
