arr_size, iters, time
128, 10000000, 87568769
128, 10000000, 87547361
128, 10000000, 87424008
128, 10000000, 87514829
128, 10000000, 87444552
128, 10000000, 87562456
128, 10000000, 87557076
128, 10000000, 89299853
128, 10000000, 87516937
128, 10000000, 87431214
