arr_size, iters, time
131072, 100000, 115676
131072, 100000, 110400
131072, 100000, 111733
131072, 100000, 105798
131072, 100000, 105822
131072, 100000, 141283
131072, 100000, 282310
131072, 100000, 282131
131072, 100000, 231010
131072, 100000, 211855
131072, 100000, 116568
131072, 100000, 127087
131072, 100000, 126991
131072, 100000, 121100
131072, 100000, 149450
131072, 100000, 85185
131072, 100000, 253982
131072, 100000, 134094
131072, 100000, 127443
131072, 100000, 142994
131072, 100000, 126997
131072, 100000, 121152
131072, 100000, 120987
131072, 100000, 121184
131072, 100000, 120902
131072, 100000, 87557
131072, 100000, 283072
131072, 100000, 259458
131072, 100000, 230962
131072, 100000, 211966
131072, 100000, 82296
131072, 100000, 86170
131072, 100000, 231889
131072, 100000, 90729
131072, 100000, 149369
131072, 100000, 101638
131072, 100000, 101638
131072, 100000, 97693
131072, 100000, 97975
131072, 100000, 94108
131072, 100000, 87505
131072, 100000, 85236
131072, 100000, 90226
131072, 100000, 82291
131072, 100000, 82075
131072, 100000, 128002
131072, 100000, 115501
131072, 100000, 110691
131072, 100000, 110537
131072, 100000, 105921
