arr_size, iters, time
524288, 100000, 127491
524288, 100000, 159329
524288, 100000, 141881
524288, 100000, 127387
524288, 100000, 115493
524288, 100000, 134263
524288, 100000, 121502
524288, 100000, 115620
524288, 100000, 115624
524288, 100000, 110640
524288, 100000, 212233
524288, 100000, 183221
524288, 100000, 159163
524288, 100000, 141217
524288, 100000, 127198
524288, 100000, 121467
524288, 100000, 169355
524288, 100000, 159048
524288, 100000, 141352
524288, 100000, 127145
524288, 100000, 122500
524288, 100000, 106202
524288, 100000, 101800
524288, 100000, 94377
524288, 100000, 90933
524288, 100000, 121048
524288, 100000, 115564
524288, 100000, 105923
524288, 100000, 101814
524288, 100000, 101713
524288, 100000, 110822
524288, 100000, 101807
524288, 100000, 97902
524288, 100000, 94254
524288, 100000, 87838
524288, 100000, 80182
524288, 100000, 79564
524288, 100000, 79455
524288, 100000, 87427
524288, 100000, 79592
524288, 100000, 80167
524288, 100000, 79409
524288, 100000, 79587
524288, 100000, 79579
524288, 100000, 79508
524288, 100000, 97755
524288, 100000, 181455
524288, 100000, 159062
524288, 100000, 140978
524288, 100000, 127250
