i,time
1,228
1,131
1,126
1,127
1,127
1,126
1,126
1,127
1,127
1,126
1,127
1,127
1,127
1,130
1,127
1,126
1,126
1,127
1,235
1,237
1,133
1,127
1,236
1,133
1,238
1,132
1,249
1,131
1,126
1,196
1,129
1,193
1,129
1,127
1,237
1,133
1,235
1,133
1,237
1,133
1,237
1,236
1,133
1,127
1,127
1,236
1,135
1,127
1,127
1,236
1,133
1,236
1,133
1,127
1,235
1,133
1,127
1,235
1,234
1,133
1,235
1,133
1,218
1,131
1,240
1,134
1,127
1,205
1,235
1,238
1,134
1,193
1,129
1,238
1,132
1,236
1,135
1,235
1,134
1,126
1,126
1,205
1,238
1,133
1,237
1,131
1,237
1,133
1,238
1,133
1,192
1,129
1,126
1,238
1,134
1,239
1,236
1,237
1,133
1,179
1,127
1,203
1,236
1,133
1,234
1,133
1,236
1,239
1,133
1,234
1,132
1,235
1,133
1,227
1,132
1,227
1,133
1,237
1,133
1,230
1,132
1,127
1,237
1,134
1,127
1,127
1,127
1,126
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,128
1,128
1,126
1,126
1,127
1,126
1,127
1,127
1,127
1,128
1,127
1,128
1,127
1,128
1,128
1,127
1,127
1,127
1,126
1,126
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,129
1,126
1,127
1,127
1,127
1,130
1,126
1,127
1,127
1,126
1,127
1,127
1,127
1,126
1,138
1,127
1,127
1,126
1,127
1,127
1,127
1,126
1,127
1,126
1,128
1,127
1,126
1,128
1,127
1,126
1,127
1,126
1,130
1,127
1,127
1,128
1,127
1,127
1,128
1,128
1,129
1,127
1,126
1,127
1,127
1,127
1,126
1,129
1,127
1,126
1,126
1,126
1,127
1,127
1,127
1,127
1,127
1,126
1,127
1,127
1,126
1,127
1,129
1,128
1,127
1,127
1,127
1,127
1,128
1,127
1,127
1,126
1,130
1,127
1,127
1,127
1,127
1,171
1,236
1,131
1,130
1,127
1,127
1,127
1,127
1,127
1,133
1,128
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,136
1,127
1,127
1,126
1,127
1,127
1,128
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,128
1,126
1,128
1,127
1,127
1,126
1,127
1,127
1,127
1,127
1,136
1,127
1,128
1,126
1,128
1,128
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,126
1,127
1,126
1,127
1,127
1,130
1,127
1,127
1,126
1,127
1,127
1,127
1,129
1,127
1,126
1,126
1,127
1,128
1,126
1,127
1,127
1,127
1,129
1,130
1,127
1,127
1,128
1,129
1,128
1,127
1,126
1,126
1,126
1,127
1,127
1,126
1,127
1,129
1,127
1,127
1,129
1,127
1,126
1,127
1,127
1,127
1,126
1,128
1,126
1,127
1,128
1,127
1,127
1,136
1,126
1,127
1,127
1,127
1,127
1,128
1,128
1,127
1,127
1,127
1,127
1,126
1,127
1,127
1,129
1,128
1,130
1,127
1,137
1,127
1,127
1,128
1,127
1,126
1,127
1,127
1,126
1,139
1,127
1,128
1,127
1,127
1,127
1,136
1,127
1,128
1,127
1,137
1,127
1,236
1,133
1,136
1,127
1,126
1,126
1,126
1,127
1,127
1,126
1,127
1,126
1,128
1,127
1,127
1,126
1,126
1,126
1,126
1,127
1,126
1,127
1,127
1,126
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,126
1,127
1,126
1,129
1,126
1,126
1,127
1,128
1,127
1,126
1,126
1,126
1,128
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,126
1,126
1,128
1,127
1,126
1,126
1,127
1,127
1,127
1,127
1,126
1,126
1,127
1,127
1,127
1,127
1,128
1,127
1,127
1,126
1,126
1,127
1,128
1,126
1,126
1,126
1,127
1,126
1,126
1,138
1,126
1,127
1,126
1,126
1,126
1,127
1,126
1,127
1,127
1,126
1,126
1,127
1,127
